StateName,Year,index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Total,Footnotes
MI,2011,765,0.246,0.095,0.106,0.28,0.134,0.14,1.0,
MN,2011,766,0.254,0.088,0.123,0.28,0.125,0.129,1.0,
MS,2011,767,0.271,0.095,0.112,0.269,0.124,0.13,1.0,
MO,2011,768,0.25,0.09,0.118,0.273,0.129,0.141,1.0,
MT,2011,769,0.234,0.094,0.113,0.261,0.149,0.15,1.0,
NE,2011,770,0.264,0.096,0.117,0.265,0.125,0.134,1.0,
NV,2011,771,0.256,0.092,0.125,0.279,0.122,0.126,1.0,
NH,2011,772,0.227,0.082,0.099,0.308,0.145,0.139,1.0,
NJ,2011,773,0.246,0.083,0.113,0.298,0.125,0.136,1.0,
NM,2011,774,0.267,0.098,0.114,0.254,0.131,0.137,1.0,
NY,2011,775,0.234,0.097,0.125,0.285,0.125,0.135,1.0,
NC,2011,776,0.256,0.089,0.115,0.283,0.126,0.132,1.0,
ND,2011,777,0.237,0.115,0.12,0.254,0.131,0.142,1.0,
OH,2011,778,0.248,0.088,0.112,0.278,0.134,0.141,1.0,
OK,2011,779,0.266,0.092,0.12,0.262,0.124,0.137,1.0,
OR,2011,780,0.233,0.092,0.124,0.269,0.138,0.143,1.0,
PA,2011,781,0.232,0.088,0.108,0.282,0.136,0.155,1.0,
RI,2011,782,0.224,0.097,0.111,0.288,0.135,0.144,1.0,
SC,2011,783,0.248,0.093,0.11,0.273,0.134,0.141,1.0,
SD,2011,784,0.263,0.091,0.115,0.26,0.127,0.145,1.0,
TN,2011,785,0.247,0.09,0.117,0.279,0.131,0.137,1.0,
TX,2011,786,0.29,0.098,0.127,0.273,0.108,0.105,1.0,
UT,2011,787,0.33,0.111,0.142,0.233,0.092,0.092,1.0,
VT,2011,788,0.213,0.084,0.102,0.293,0.156,0.152,1.0,
VA,2011,789,0.247,0.091,0.12,0.289,0.127,0.126,1.0,
WA,2011,790,0.245,0.092,0.126,0.28,0.131,0.126,1.0,
WV,2011,791,0.22,0.088,0.105,0.275,0.15,0.162,1.0,
WI,2011,792,0.247,0.09,0.114,0.28,0.132,0.137,1.0,
WY,2011,793,0.251,0.094,0.127,0.262,0.14,0.126,1.0,
PR,2011,794,0.254,0.1,0.114,0.261,0.12,0.152,1.0,
